date,timing_strategy,equal_weight_factors,market_proxy,turnover
2021-02-05,-0.005849782050208958,-0.005849782050208958,-0.00870668815623829,0.0
2021-02-08,-0.005469473266230616,-0.0054694732662306155,0.015144563996204976,0.0
2021-02-09,-0.006307982959881364,-0.006307982959881364,0.025563155578306875,0.0
2021-02-10,0.00908831908064401,0.009088319080644012,0.011727166864205373,0.0
2021-02-18,0.005994937941163876,0.005994937941163875,0.012541386990941913,0.0
2021-02-19,0.0034962865466455946,0.003496286546645594,0.005511108326267904,0.0
2021-02-22,0.0010948920259740084,0.0010948920259740082,-0.012377463167776766,0.0
2021-02-23,0.006121905431949367,0.0061219054319493664,-0.003000034882189424,0.0
2021-02-24,0.0013079418587426212,0.0013079418587426206,-0.018004098141525347,0.0
2021-02-25,0.004239546140753961,0.00423954614075396,0.002416073104256046,0.0
2021-02-26,-0.0029354745184479343,-0.002935474518447933,-0.02208616952889859,0.0
2021-03-01,0.0007909000366496974,0.0007909000366496976,0.01927050405853282,0.0
2021-03-02,0.003663459824187391,0.0036634598241873898,-0.009130851400445937,0.0
2021-03-03,0.012421488318470338,0.012421488318470337,0.015282415691270495,0.0
2021-03-04,0.0038030282141555457,0.0038030282141555453,-0.024691743774383153,0.0
2021-03-05,0.013411910988687235,0.013411910988687232,-0.0008045144483016605,0.0
2021-03-08,0.004103073176385284,0.0041030731763852845,-0.02778032087035021,0.0
2021-03-09,-0.00926346180343112,-0.009263461803431119,-0.022161665570904193,0.0
2021-03-10,-0.0024120288824191543,-0.0024120288824191548,-0.0008638534577558849,0.0
2021-03-11,-0.00218814658556987,-0.0021881465855698697,0.027090987890035417,0.0
2021-03-12,0.00904815482564068,0.009048154825640678,0.004906752934316094,0.0
2021-03-15,-0.001388070041183119,-0.0013880700411831187,-0.017393738905846723,0.0
2021-03-16,-0.00473029206091019,-0.004730292060910189,0.004682668920873052,0.0
2021-03-17,-0.006606346683261775,-0.006606346683261774,0.005040057611441366,0.0
2021-03-18,0.014171492751770078,0.014171492751770076,0.006537943722269888,0.0
2021-03-19,0.003673567830437492,0.003673567830437492,-0.01772175103569784,0.0
2021-03-22,0.006205174768380245,0.006205174768380243,0.014011797107775262,0.0
2021-03-23,0.005828713408957095,0.005828713408957095,-0.013904740781701178,0.0
2021-03-24,-0.0015600073907198265,-0.001560007390719826,-0.018752720066686886,0.0
2021-03-25,-0.007288623042549985,-0.007288623042549984,0.0016461258864408027,0.0
2021-03-26,0.0042215035492588135,0.0042215035492588135,0.021419327667676274,0.0
2021-03-29,-0.007321033176220708,-0.007321033176220709,0.003024732813000339,0.0
2021-03-30,0.008801127219463141,0.00880112721946314,0.007861576469217584,0.0
2021-03-31,-0.00743122294503232,-0.007431222945032318,-0.005581830843392988,0.0
2021-04-01,-0.006020651231175259,-0.006020651231175259,0.010925885934746568,0.0
2021-04-02,0.00203489842950998,0.00203489842950998,0.007095075406997011,0.0
2021-04-06,0.008253752951477074,0.008253752951477072,0.001488188594536569,0.0
2021-04-07,-0.0007815806777876096,-0.0007815806777876094,0.0007289247588997126,0.0
2021-04-08,0.007830652546326365,0.007830652546326363,0.0011176676782153328,0.0
2021-04-09,0.009082730870568639,0.009082730870568637,-0.010736760564791047,0.0
2021-04-12,-0.004379254982643104,-0.004379254982643103,-0.019204568562777236,0.0
2021-04-13,-0.002340392185968483,-0.0023403921859684825,-0.003387904544001595,0.0
2021-04-14,-0.0012523453020181579,-0.0012523453020181579,0.010952603681695799,0.0
2021-04-15,0.003833951693283453,0.0038339516932834523,-0.0018221352793194652,0.0
2021-04-16,-0.013252194191392924,-0.013252194191392924,0.005668261180572699,0.0
2021-04-19,-0.0020223706678283875,-0.0020223706678283875,0.022812491717457202,0.0
2021-04-20,-0.00011406641757194297,-0.0001140664175719431,-0.003075184935218755,0.0
2021-04-21,-0.0021133944711034507,-0.0021133944711034503,0.00013870055568859213,0.0
2021-04-22,-0.006455896089294846,-0.006455896089294844,0.0018399196901495525,0.0
2021-04-23,0.0029676529053620183,0.002967652905362018,0.0039011240376370113,0.0
2021-04-26,-0.002253126102293497,-0.002253126102293497,-0.007636939842959465,0.0
2021-04-27,-0.0026388267027554974,-0.0026388267027554965,-0.0029343471699453615,0.0
2021-04-28,0.00021725069073434388,0.00021725069073434366,0.007998787077585823,0.0
2021-04-29,-0.004443419294006367,-0.004443419294006367,0.008060091065454786,0.0
